,,,,,,,, Command,,,,Non command,,,,Poor command,,,
SR.NO, GW Watershed name,Geo Specific Yield name,Specific Yield value as %,Rainfall infiltration Factor as %,Transmissivity as %,Storage Coefficient as %,Total area sq.km,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
1,NLR_C_61_KOTTAPETA,Gneisses,2,10,,,364.05,0,0,0,0,0,361.88,2.17,101.1644,0,0,0,0
2,NLR_C_61_S.R.PURAM,Schist,2,10,,,620.5621212121,0,0,0,0,612.2102,412.6736285714,199.5365714286,36.269019973,0,0,0,0
3,NLR_C_61_VEMPADU,Gneisses,3,10,,,134.89,0,0,0,0,134.89,129.29,5.6,1.93,0,0,0,0
4,NLR_C_62_BOGOLE,Schist_Alluvium,8,12,,,383.12,311.34,0.86,12.1965,312.2,70.92,0,23.56,70.92,0.001,0,0,0.001
5,NLR_C_62_BRAHMANAKRAKA,Gneisses,3,10,,,376.69,237.73,0.98,4.39,238.71,137.46,0.52,11.57,137.98,2.024291498,0,0,2.024291498
6,NLR_C_62_CHINNA ANNALUR,Gneisses,3,11,,,241.72,0,0,0,0,241.72,236.32,5.4,15.873,0,0,0,0
7,NLR_C_62_GOTTIGUNDALA,Schist and gneisses,3,11,,,219.56,0,0,0,0,219.56,219.41,0.15,2.1576,0,0,0,0
8,NLR_C_62_JALADANKI,Gneisses,3,10,,,111.83,54.92,0,5.5125,54.92,55.47,1.44,3.902,56.91,0.0001,0,0,0.0001
9,NLR_C_62_KAVALI,Laterite,3,7,,,302.29,44.211,0.169,18.51,44.38,254.47,3.44,68.2,257.91,0.0001,0,0,0.0001
10,NLR_C_72_A.S.PETA,Schist,3,10,,,602.75,43.63,0.8,1.19,44.43,551.54,6.78,40.91,558.32,0.0001,0,0,0.0001
11,NLR_C_72_ALLAMPADU,Schist,3,10,,,362.4,0,0,0,0,362.40005,292.87205,69.528,49.9165,0,0,0,0
12,NLR_C_72_ANANTASAGARAM,Schist,3,10,,,533.77,165.71,4.7,40.63,170.41,246.71003,116.65,47.8,363.36003,0.0001,0,0,0.0001
13,NLR_C_72_CHEJARLA,Schist,3,10,,,233.04,87.84,0.3,0,88.14,140.5,4.4,0,144.9,0.0001,0,0,0.0001
14,NLR_C_72_GANDLAVEEDU,Schist,3,10,,,510.94,53.07,0,1.14,53.07,452.31,5.56,28.0915,457.87,0.0001,0,0,0.0001
15,NLR_C_72_KALUVOYA,Schist,3,10,,,249.68,128.16,3.3,33.36,131.46,100.31,17.91,52.03,118.22,0,0,0,0
16,NLR_C_72_KODAVALUR,Schist,4,10,,,362.52,294.48,0.5,7.58,294.98,66.64,0.9,3.2,67.54,0.0001,0,0,0.0001
17,NLR_C_72_KOVUR,Schist,3,16,,,783.5,722.94,2.8,35.36,725.74,57.26,0.5,6.974,57.76,0.0001,0,0,0.0001
18,NLR_C_72_NELLORE,Schist,3,16,,,475.09,377.67,4.8,26.73,382.47,92.34,0.28,23.42,92.62,23.4817813765,0,0,23.4817813765
19,NLR_C_72_PRABHUGIRIPATNAM,Schist,3,11,,,373.91,319.76,2.88,2.34,322.64,51.27,0,26.31,51.27,0,0,0,0
20,NLR_C_73_BALAYAPALLE,Schist_ Gneisses,3,11,,,297.84,0,0,0,0,297.84,297.84,0,77.23,0,0,0,0
21,NLR_C_73_CHINTAVARAM,GneissesCoastal Alluvium,7,10,,,283.42,0,0,0,0,283.42,283.42,0,26.51,0,0,0,0
22,NLR_C_73_DAKKILI,Schist,3,10,,,193.15,0,0,0,0,186.52,136.26,50.26,67.67,0,0,0,0
23,NLR_C_73_DEGAPUDI,Schist,3,10,,,421.68,10.31,0,0,10.31,408.82,2.55,29.61,411.37,0.0001,0,0,0.0001
24,NLR_C_73_GONUPALLE,Schist,3,11,,,303.99,0,0,0,0,300.69,274.7,25.99,74.16,0,0,0,0
25,NLR_C_73_GUDUR,Schist,3,10,,,271.24,0,0,0,0,271.24,271.24,0,13.8,0,0,0,0
26,NLR_C_73_KASUMUR,Schist,3,11,,,455.49,261.69,0.06,42.38,261.75,193.34,0.4,24.825,193.74,0.0001,0,0,0.0001
27,NLR_C_73_MUTTUKUR,Laterite,3,16,,,516.5,493.36,0.3,6.78,493.66,22.84,0,2.15,22.84,0,0,0,0
28,NLR_C_73_PALUGODU,Schist_Gneisses,3,11,,,203.42,0,0,0,0,200.92,133.58,67.34,33.89,0,0,0,0
29,NLR_C_73_RAMASAGARAM,Schist,3,11,,,151.49,0,0,0,0,151.49,150.31,1.18,39.07,0,0,0,0
30,NLR_C_73_RAPUR,Schist,3,10,,,323.68,0,0,0,0,270.52,258.29,12.23,129.33,0,0,0,0
31,NLR_C_73_VENKATAGIRI,Gneisses,3,11,,,60.18,0,0,0,0,31.7,29.2,2.5,5.25,0,0,0,0
32,NLR_C_74_CHAVALI,Gneisses,3,11,,,67.34,0,0,0,0,67.34,67.34,0,0.91,0,0,0,0
33,NLR_C_74_DUGGARAJUPATNAM,Alluvium,16,16,,,166.6,0,0,0,0,166.6,166.6,0,1.15,0,0,0,0
34,NLR_C_74_KOTA,Laterite_ Alluvium,8,15,,,130.81,0,0,0,0,130.81,130.31,0.5,2.99,0,0,0,0
35,NLR_C_74_NELAPATTU,Coastal Alluvium,8,10,,,222.05,0,0,0,0,222.05,222.05,0,50.58,0,0,0,0
36,NLR_C_74_OZILI,Alluvium_Gneisses,10,16,,,329.01,0,0,0,0,329.01,328.71,0.3,12.8,0,0,0,0
37,NLR_C_74_PERIMIDI,Gneisses,3,11,,,198.33,0,0,0,0,198.33,197.63,0.7,69.11,0,0,0,0
38,NLR_C_74_YAKASIRI,Gneisses_ Alluvium,16,20,,,147.18,0,0,0,0,147.18,147.18,0,19.05,0,0,0,0
39,NLR_C_75_IRKAM,Coastal alluvium,8,10,,,402.64,0,0,0,0,114.17,0,4.42,114.17,288.47,0,0,288.47
40,NLR_C_75_REDDYPALEM,Coastal Alluvium,10,16,,,182.17,0,0,0,0,182.17,182.17,0,0.51,0,0,0,0
41,NLR_C_75_SHAR,Coastal alluvium,6,10,,,141.22,0.0001,0,0,0.0001,135.12,0,9.696,135.12,6.1,0,0,6.1
42,NLR_C_76_KADALUR,Gneisses,3,10,,,29.05,0,0,0,0,29.05,29.05,0,1.94,0,0,0,0
43,NLR_C_76_TADA,Coastal Alluvium_ Gneisses,4,10,,,243.99,0.0001,0,0,0.0001,142.09,0,0,142.09,101.9,0,0,101.9
44,NLR_C_76_VEDURUPATTU,Schist,3,11,,,48.66,0,0,0,0,48.66,48.66,0,1.9,0,0,0,0
45,NLR_C_76_YEKOLLU,Schist,3,11,,,228.98,0,0,0,0,228.98,228.98,0,40.84,0,0,0,0
